Word,Iconicity
a,0.461538462
abide,0.25
able,0.466666667
about,-0.1
above,1.0625
abrasive,1.3125
absorbent,0.923076923
academy,0.692307692
accident,1.363636364
accordion,-0.454545455
account,-0.428571429
ache,1.153846154
aching,0.25
acid,0.75
acidic,1
acrid,0.615384615
acrobat,1
actuality,-0.363636364
add,-0.153846154
addition,1.230769231
address,-0.583333333
adhere,-0.4
adhesive,1.333333333
administer,0.25
administration,0.384615385
admission,0.090909091
advantage,-0.307692308
advice,0.428571429
afford,-0.066666667
afraid,1.333333333
after,0.75
agility,1.454545455
aim,0.454545455
air,1.3
airplane,2.545454545
alarm,1.090909091
albatross,1
alcohol,-0.846153846
alcoholic,0.416666667
alive,1.384615385
all,-0.1
alligator,1.090909091
alone,1.230769231
aloof,0.714285714
aluminum,0.9
am,0.583333333
amateur,-0.857142857
amber,0
amble,0.4
ambulance,-0.818181818
amount,0.692307692
amplifier,2
an,-0.642857143
anaconda,1.454545455
analogy,0
anchor,2.166666667
and,0.5625
anger,1
angle,1.076923077
angry,1.769230769
angular,1.714285714
animal,-0.933333333
ankle,0.466666667
announcer,1
another,0.117647059
answer,0.5625
ant,0.6
antelope,-1.4
antiseptic,-0.428571429
any,-0.3125
apartment,-0.3
ape,1.2
appeal,0.357142857
appease,0.923076923
applause,0.666666667
apple,0.083333333
apricot,-0.181818182
apron,0.1
arch,2.5
are,-0.9
area,-0.214285714
arf,1.928571429
argue,0.428571429
arm,0.2
armadillo,-1
armor,-0.3
army,-0.545454545
aroma,1.142857143
aromatic,1.25
around,0.6
arrange,0.428571429
arrangement,0.666666667
arrest,0.5
arsenal,1
asbestos,-0.615384615
ash,0.538461538
ashes,0.769230769
ashtray,1.909090909
asinine,-0.615384615
asleep,0.454545455
asparagus,-0.181818182
aspect,-0.333333333
asphalt,-1.6
astringent,0.142857143
asymmetrical,-0.272727273
at,-0.166666667
athlete,0.2
atom,0.181818182
attempt,-0.272727273
attorney,-0.692307692
audible,0.923076923
aunt,0.2
authentic,0.454545455
autumn,0.5
avalanche,1.181818182
avocado,-1.363636364
avoid,-0.166666667
awake,2.1
away,0.75
axe,1.9
aye,1.727272727
azure,-0.5
baa,2.818181818
babble,3.538461538
babbling,3
baboon,1.181818182
baby,2.230769231
back,0.4
background,0.416666667
bad,0.5625
badger,0.2
bag,1.090909091
bagpipe,2.454545455
balance,0.25
bald,1.363636364
ball,0.75
ballerina,1.3
balloon,1.714285714
balmy,1
banana,1
band,0.307692308
bang,3.833333333
banging,2.5
banjo,1.363636364
bank,0.571428571
banner,-0.727272727
barbecue,0.692307692
barbecued,-0.923076923
barbed,1.090909091
bark,-0.066666667
barking,3.333333333
barn,0.7
barrel,1
base,1
basement,0.818181818
bash,3.083333333
basket,-0.166666667
basketball,0.5
bat,0.153846154
bath,0.3
bathtub,1.583333333
baton,1.272727273
battle,1.5
bayonet,-1.4
bazooka,1.7
be,0.384615385
beach,-0.214285714
beachball,1.3
beaded,-0.3
beads,1.454545455
beans,0.375
bear,-0.25
beautiful,2.333333333
beauty,0.833333333
beaver,0.2
because,0.214285714
bed,0.416666667
bedroom,2.5
bee,1.545454545
beehive,1.545454545
beep,4.357142857
beeping,3.076923077
beer,0.846153846
beery,0.846153846
beetle,1
beets,0.7
before,-0.5
begin,1.571428571
beginning,0.181818182
behind,1.545454545
beige,0.307692308
belief,0.75
bell,1.181818182
belly,0.25
belong,-0.166666667
belt,1.2
bench,-0.916666667
bendable,0.7
bent,0.615384615
bequeath,-0.785714286
bequest,-0.9
berry,1.1
better,-0.1
bib,0.083333333
bicycle,2.272727273
big,1.090909091
bike,0.9
billiards,-1.2
binding,0.909090909
birch,0.3
bird,0.727272727
biscuit,-0.153846154
biscuity,0.416666667
bison,-0.6
bite,2
bitter,1.307692308
black,1.19047619
blackbird,0.4
blame,0.428571429
bland,2.071428571
blanket,0.117647059
blare,1
blaring,2.692307692
blast,3.545454545
bleating,1.714285714
bleep,3.928571429
bleeping,3.428571429
blender,2.1
bliss,1.833333333
block,2.428571429
blonde,-0.166666667
blood,0.333333333
bloody,1.230769231
blotch,1.833333333
blotchy,2.307692308
blouse,1.1
blow,1.363636364
blue,-0.066666667
blueberry,2.6
bluejay,2.272727273
blunt,3.166666667
blush,1.6
boar,-0.25
boat,1.142857143
bob,1.2
bobcat,1.6
body,-0.5
bogus,1.769230769
boil,1.384615385
boiling,1.384615385
bolt,1.1
bolts,1.3
bomb,1.9
bone,0.090909091
bonfire,1.3
bonobo,0.181818182
bony,1.8
book,0.090909091
bookcase,0.818181818
boom,3.846153846
boomerang,1.181818182
booming,3.307692308
booth,0.071428571
boots,0.4
border,0.785714286
bore,0.923076923
born,-0.818181818
boss,-0.25
bother,0.5
bottle,0.5
boulder,0.4
bounce,2.642857143
bouncy,2.923076923
bound,0.4
bouquet,0.909090909
bowl,1.5
box,0.5625
boy,1.7
bra,0
bracelet,0.4
brackish,0.846153846
branch,0.571428571
branching,-0.714285714
brassy,1.25
brave,1.416666667
bravery,-0.181818182
bray,0.461538462
braying,1.166666667
brazen,0.846153846
bread,0.333333333
break,2.9
breakable,1.846153846
breakfast,0.916666667
breast,0.333333333
breath,1.666666667
breathe,2.666666667
breeze,0.9375
breezy,2.25
brick,1.25
bridge,-0.166666667
brief,0.2
bright,1.5
brilliant,0.846153846
brine,-1.076923077
bring,0.133333333
briny,1.461538462
bristle,0.583333333
bristly,1.5625
brittle,2.230769231
broad,2.266666667
broccoli,-1
broken,1.5
bronze,0.083333333
broom,0.571428571
brother,0.4
brown,0.571428571
brunette,0.75
brunt,0.666666667
brush,1.727272727
bubble,1.461538462
bubbles,2.5
bubbling,2.5
bubbly,2.818181818
bucket,-0.529411765
buckle,1
budgerigar,-0.909090909
budgie,-0.4
buffalo,-0.7
bug,1.9
buggy,0.727272727
build,1.153846154
builder,0.857142857
building,1.636363636
bulk,1.230769231
bulky,1.230769231
bull,1.4
bullet,0.076923077
bump,3.363636364
bumpy,2.357142857
bungalow,-0.363636364
bunny,0.4
burden,1.181818182
bureau,-1.4
burglar,1.363636364
burl,0.2
burn,0.416666667
burning,0.533333333
burnt,0.666666667
burst,2.916666667
bursting,2
bus,-0.928571429
bush,0.25
business,-1
but,0
butter,0.545454545
butterfly,0.545454545
buttery,0.166666667
buttock,0
buttocks,0.25
button,0.5
buy,-0.083333333
buzz,3.692307692
buzzard,0.5
buzzer,4.090909091
buzzing,4.333333333
by,0.272727273
bye,1.583333333
cab,-1
cabbage,-0.9
cabin,0.090909091
cabinet,0.090909091
cactus,1.6
cage,0.846153846
cake,0.461538462
calculator,0.8
calf,-0.4
call,0.416666667
callused,-0.181818182
calmness,1.75
camel,0.272727273
camera,1.333333333
camisole,-1.090909091
camp,0.769230769
camping,0.636363636
canary,0.8
cancer,0
candle,0.909090909
candy,1.117647059
candycane,3.1
cannon,0.666666667
canoe,-1.181818182
cantaloupe,-1.7
canter,-1
canvas,0.6
capacity,0.6
cape,0.454545455
car,0.466666667
caramel,0.5
caramelized,-0.733333333
career,0.071428571
caribou,-0.727272727
carnage,2.090909091
carnival,0.583333333
carpet,-0.272727273
carrot,0.083333333
carrots,0.5
carry,0
cart,0.916666667
cascade,0.7
case,-0.416666667
cash,-0.166666667
cast,0.222222222
casual,0.785714286
cat,0.538461538
catapult,0.666666667
catch,0.461538462
caterpillar,-1
catfish,0.545454545
cathedral,0.454545455
cattle,-1.1
cauliflower,0.727272727
cause,-0.090909091
cave,1.272727273
cedar,0.1
ceiling,0.7
celery,-1.2
cellar,-1.083333333
cello,-0.272727273
cement,-0.3
center,0.933333333
century,-0.230769231
ceramic,-0.166666667
cereal,0.214285714
certificate,2.272727273
chain,-0.1
chair,0.0625
chalk,0.636363636
chalky,1.636363636
chameleon,0.2
champagne,-0.230769231
chandelier,1
chapel,-0.6
char,2.083333333
charge,2.3
charred,1.928571429
chart,-0.076923077
chase,0.692307692
cheat,-0.363636364
cheek,1.3
cheer,2.8
cheerios,1.916666667
cheese,-0.363636364
cheesy,0.928571429
cheetah,-0.181818182
chef,-0.75
chequered,0
cherry,0.8
chew,2.214285714
chewy,2.5
chickadee,2
chicken,1.090909091
child,0.933333333
children,0.8
chill,0.923076923
chilly,0.615384615
chime,3.307692308
chiming,1.571428571
chimp,-0.090909091
chin,1.333333333
chinchilla,-0.25
chipmunk,0.1
chirp,4.142857143
chirping,3.923076923
chisel,1.6
chocolate,0.545454545
chocolatey,1.083333333
choir,-0.636363636
choo-choo,3
choose,-0.4
chop,3.272727273
chubby,2.071428571
chunky,2.2
church,0.076923077
cigar,-0.363636364
cigarette,1
circle,1.307692308
circular,1.142857143
circus,0.6
citrus,0.461538462
citrusy,0.5
city,-0.285714286
claim,-0.076923077
clam,1.272727273
clammy,2.083333333
clamor,1.153846154
clamorous,0.916666667
clamp,2.818181818
clang,3.857142857
clanging,2.785714286
clank,4.153846154
clap,2.833333333
clarinet,-0.272727273
clash,2.666666667
clay,0.2
clean,0.923076923
clear,0.230769231
click,4.461538462
clicking,2.933333333
cliff,1.4
climb,0.846153846
clingy,0.9
clip,1.75
cloak,0.272727273
clock,0.611111111
close,-0.125
closed,1.6
closer,0.846153846
closet,1.4375
cloth,-0.7
cloud,1
cloudy,0.538461538
clover,-0.2
clown,0.153846154
cloy,0.25
cloying,-1.076923077
clunk,3.928571429
coal,1.4
coarse,2.75
coast,-0.428571429
coat,-0.8
coated,0.636363636
cobra,0.454545455
cockadoodledoo,3.733333333
cockatoo,0.2
cockroach,1.090909091
coconut,1.307692308
coconutty,1.461538462
cod,-1.363636364
coffee,1.3
coffin,-0.6
coil,0.909090909
coin,0.4
coke,1
colander,-1
cold,1.5
collapsible,-0.181818182
collect,0.384615385
collection,0.923076923
college,1
colonel,-1.25
color,0.083333333
colorful,1.785714286
colossal,2.666666667
comb,-0.066666667
come,0.214285714
comedy,1
comfortable,-0.8
commotion,2
compact,-0.307692308
compete,1.083333333
competition,1.166666667
complete,-0.090909091
computer,1
concave,-1.090909091
concept,0.285714286
condition,-0.692307692
cone,0.153846154
confetti,-0.1
confide,0.692307692
confidence,0.846153846
confuse,1
conical,0.166666667
consequence,0.615384615
construct,0.083333333
construction,0.928571429
contact,0.2
container,1.181818182
content,-0.923076923
contour,0.583333333
contoured,0.083333333
contract,-0.692307692
contrary,1
converge,-0.8
convex,-0.3
coo,2.5
cooing,4.076923077
cook,0.9
cookie,0.454545455
cool,2.214285714
cope,-0.307692308
core,-0.090909091
cork,1.090909091
corkscrew,2.4
corn,0.307692308
corpse,1.9
correct,-0.166666667
corroded,1.181818182
cost,0.538461538
cottage,0.9
cotton,0.307692308
couch,-0.166666667
cougar,1.2
cough,2.363636364
could,-1.454545455
council,0.076923077
counsel,0.166666667
count,-0.2
country,-0.529411765
county,-0.066666667
course,0.4
court,0.066666667
courteous,1
cousin,0
cover,0.428571429
cow,1.454545455
coward,-0.5
cowardice,0.1
coyote,-0.4
crab,0
crack,3.1
cracked,3
cracker,0.583333333
crackling,2.833333333
craft,0.733333333
crag,1
craggy,0.538461538
cranberry,0.272727273
crane,0.2
crap,1.384615385
crash,3.769230769
crashing,2.428571429
craterous,-0.272727273
crawl,3.272727273
crayon,0.818181818
creak,1.923076923
creaking,2
cream,0.214285714
creamy,1.5
crease,0.615384615
creased,0.833333333
creed,-0.357142857
creep,2.1
crevices,0.454545455
crib,-0.411764706
cricket,2.6
crime,0
crimson,0.307692308
crinkle,3.833333333
crinkled,0.916666667
crinkly,3.7
crisis,0.2
crisp,3.7
crocodile,1
crook,1.461538462
crooked,2
cross,0.615384615
crossbow,1
crow,1.909090909
crowbar,0.6
crowd,1.142857143
crowded,1.384615385
crown,0.9
crucifix,0.6
cruiser,-0.4
crumbly,2.5
crumpled,2.6
crunch,3.785714286
crunching,3.083333333
crushed,3.1
crusty,1.636363636
cry,0.866666667
crying,0.153846154
cubical,1.727272727
cuckoo,2.9
cucumber,0.1
cuddly,2.363636364
cult,0.636363636
cup,1.538461538
cupboard,1.363636364
curb,0.384615385
cure,-0.071428571
curiosity,0.384615385
curious,0.785714286
curl,0.692307692
curly,2.454545455
curtains,-0.583333333
curve,1
curved,1.153846154
cushion,2.090909091
cushioned,1.2
cushiony,1.363636364
cushy,1.7
customer,0.428571429
cut,0.705882353
cute,2.083333333
cyclone,1
cylindrical,1.9
dad,1.5
daddy,1.428571429
dagger,1.3
dalmation,0.1
damage,1.615384615
damp,1.076923077
dance,0.153846154
dancer,1.5
dandelion,-2.8
danger,1.076923077
dank,1
dapple,1
dappled,0.769230769
dark,1.181818182
dart,1.2
dash,2.454545455
dawdle,1.727272727
dawn,1.454545455
day,-0.153846154
daylight,1.545454545
dazzle,1.583333333
dazzling,2.846153846
dead,1.307692308
deaf,0.142857143
deafening,0.076923077
deal,-0.538461538
death,0.785714286
deceit,-0.4
deck,-0.25
deem,-0.583333333
deep,1.142857143
deer,-0.444444444
defeat,0.076923077
defense,1
defy,0.846153846
delicate,0.727272727
delicious,0.692307692
delight,0.692307692
deluxe,0.461538462
democracy,0.142857143
demon,0.583333333
denial,-0.583333333
dense,2
dented,0.8
deny,0.857142857
department,-0.25
depress,0.692307692
depression,0.769230769
desk,0.083333333
despicable,2.4
despise,1
destroy,1.857142857
deuce,-0.733333333
develop,0.538461538
development,0.538461538
device,0.230769231
devil,1.25
devote,-0.066666667
dewy,0.1
diamond,0.909090909
diaper,-0.272727273
did,0.466666667
die,0.333333333
difficult,1.769230769
dig,0.636363636
dim,1.230769231
dime,0.363636364
dimensional,0.181818182
dingo,-0.5
dinner,0.263157895
dip,1.4
diploma,0.090909091
direct,1.230769231
direction,-0.3
dirt,1
dirty,1
discreet,0.384615385
disease,0.166666667
dish,0.75
dishwasher,3.2
disjointed,0.8
dispute,0.307692308
distance,0.692307692
distinct,1.846153846
distinction,0.285714286
ditch,0.9
dive,1.571428571
divine,-0.214285714
do,0.846153846
doctor,1.6
dodder,1.666666667
does,-0.6
dog,1.272727273
doll,-0.428571429
dolphin,0.181818182
domain,1.076923077
dome,0.2
donkey,0.842105263
donut,0.181818182
door,1.272727273
doorknob,2.272727273
doubt,-0.230769231
dough,0.5
dove,0.3
down,0.56993007
downpour,2.5
downy,-1.153846154
drab,3.214285714
drag,2.083333333
drain,1.636363636
drama,0.153846154
drapes,1.5
draw,0.2
drawer,-0.923076923
dread,2.545454545
dream,0.642857143
dress,0
dresser,0.272727273
drift,1.909090909
drill,0.909090909
drink,1
drive,0.230769231
drizzle,2.7
drop,1.071428571
drum,3.181818182
drumstick,1.4
dry,1.363636364
dryer,1.555555556
duck,0.3
due,0.416666667
duke,-0.25
dull,1.615384615
dump,2.9375
dunebuggy,0.818181818
dusk,-0.909090909
dust,0.538461538
dusty,0.833333333
duty,0.285714286
dynamite,1.545454545
each,0.666666667
eagle,0.6
ear,1.1
earmuffs,2
earth,0.142857143
earthy,0.846153846
ease,0.75
east,0.384615385
eat,0.647058824
echo,2.8
echoing,1.25
economy,0.384615385
edge,1.083333333
education,1.166666667
eel,0.5
effect,0.2
effort,0.153846154
egg,1.818181818
eggplant,-0.181818182
eggy,1.076923077
elastic,1.416666667
elegant,0.230769231
elephant,2.142857143
elevator,0.4
elk,-1
embrace,1.454545455
emerald,-0.75
emerge,1.25
emergency,-0.071428571
emotion,0.090909091
empty,0.8
emu,-0.727272727
enemy,1.416666667
engage,-0.333333333
engagement,0.166666667
enormous,2.538461538
enter,0.307692308
enterprise,0.071428571
enthusiasm,0.692307692
entourage,1
entrance,0.461538462
envelope,-0.1
equipment,0.785714286
eraser,1
erupt,2.2
escalator,1.727272727
esquire,0.615384615
essence,0.846153846
estate,-1.25
estimate,0.153846154
etched,1
eternity,1.545454545
etiquette,0.818181818
evening,0.1
every,0.25
exchange,0.416666667
excite,2.076923077
excitement,1.461538462
expand,1.214285714
expansion,2.583333333
expect,-0.75
explode,2.727272727
explosion,3.545454545
extend,1.5
extra,-1.153846154
extreme,1.066666667
eye,1
fabric,-0.3
face,0.272727273
fact,1.5
factor,0.230769231
factory,0
fail,1
failure,1.071428571
faint,0.384615385
fair,-0.923076923
fake,-0.769230769
falcon,1.181818182
fall,1.533333333
falling,0.615384615
family,0.416666667
fantastic,0.785714286
far,-0.642857143
farm,-0.105263158
fast,2.166666667
fat,-0.230769231
father,2
fatty,1.142857143
faucet,0.181818182
favor,0.153846154
fawn,1.7
fear,0.833333333
feast,0.5
feat,-1.142857143
feather,1.153846154
feathered,0.545454545
fee,-0.166666667
feed,0.8
feel,1.25
feet,0.357142857
fell,1.714285714
felt,0.928571429
fence,0.25
festival,2.2
fetid,0.111111111
fever,0.071428571
feverish,0.692307692
few,2.5
fiberglass,-1.1
fibrous,2.5
fiddle,1
fight,0.363636364
file,-0.071428571
filmy,1.8
filth,1.666666667
filthy,2.230769231
finance,1
finch,-0.5
find,0
fine,-0.461538462
finger,0.181818182
fingernail,-0.153846154
finish,0.181818182
fire,1.461538462
fireworks,1.9
firm,-0.066666667
first,1.3
fish,0.071428571
fishy,1.928571429
fit,0.470588235
five,0.769230769
fix,0.538461538
flabby,2.818181818
flag,-0.785714286
flake,1
flaky,2.833333333
flamingo,0
flannel,0.9
flap,2.769230769
flash,3.727272727
flat,2.307692308
flavor,0.428571429
flavorsome,1.5
flea,1.363636364
flee,0.5
fleet,-0.5
flesh,0.916666667
fleshy,0.307692308
flexible,0.636363636
flick,2.615384615
flicker,2.75
flickering,1.692307692
flimsy,1.8
fling,1.818181818
flirt,1.083333333
float,0.545454545
floor,0.5
flop,3.142857143
floppy,2.416666667
floral,1.25
flounder,0.3
flow,1.846153846
flower,-0.083333333
flowery,1.538461538
fluff,3.214285714
fluffy,3.5
fluid,1.083333333
flute,1.545454545
flutter,2.7
fly,1.923076923
foam,1.615384615
foamy,2
fog,0.857142857
foggy,1.571428571
fold,0.636363636
foldable,0.7
follow,0.142857143
food,1.071428571
fool,0
foot,-0.4
football,-1
for,-1.4
forest,0.461538462
fork,0.818181818
forked,0.857142857
form,0.615384615
formation,0.230769231
formica,-0.8
fortune,0.428571429
four,-0.307692308
fox,0.363636364
fragile,1
fragrant,0.384615385
frayed,1
freak,1.357142857
free,0.769230769
freeze,1.066666667
freezer,2.916666667
freezing,1.357142857
fresh,1.692307692
fridge,0.545454545
friend,0.818181818
frigid,2.363636364
fringy,0.2
frizzy,2.8
frog,2.181818182
frolic,1.7
frost,0.615384615
frosty,1.307692308
frown,1.454545455
frozen,1.909090909
fruit,1
fruity,0.769230769
full,1.785714286
fun,0.833333333
function,-0.571428571
funeral,0.4
furl,-1.2
furry,2.1
fuss,-0.230769231
future,1.071428571
fuzzy,3.071428571
gallant,-0.538461538
gallery,1.4
gallop,2.166666667
game,0.066666667
gamy,0.25
gander,-0.916666667
garage,0.133333333
garbage,0.333333333
garden,-0.1875
garlic,0.230769231
garlicky,1.846153846
gate,0.25
gecko,-0.181818182
geese,-0.166666667
gelatinous,-0.454545455
gem,1
gentle,2.642857143
geography,0.727272727
gesture,-0.333333333
get,-0.583333333
ghost,0.5
giant,0.538461538
gift,0.785714286
gigantic,2.384615385
giggle,3
giggling,2.428571429
giraffe,-1.19047619
girl,0.636363636
give,1.272727273
glacier,0.9
glamor,1.5
glamorous,1.333333333
glare,1.083333333
glaring,2.272727273
glass,0.8
glasses,0.416666667
glassy,1.3
gleam,1.4375
gleaming,1.166666667
glide,3
glimmer,2.1
glint,1.142857143
glisten,1.454545455
glistening,1.846153846
glitter,1.076923077
glittery,2.5
globe,-0.571428571
globular,0.5
gloom,1.916666667
glory,1.083333333
gloss,2.357142857
glossy,2.071428571
gloves,-1.1
glow,1.153846154
glowing,2
glue,0.6
gluey,1.7
gnarled,2.909090909
go,1.454545455
goal,0.583333333
goat,-0.2
god,0.230769231
gold,0.692307692
goldfish,2.5
golfball,0.818181818
gong,3.090909091
gonna,-0.4
goo,3.153846154
good,0.928571429
gooey,3.272727273
goopy,4.2
goose,0.230769231
gopher,1.7
gorgeous,-0.076923077
gorilla,0.818181818
gotta,0
gown,-0.727272727
grace,1.692307692
grade,0.615384615
grain,0.133333333
grainy,1.076923077
granular,-1.076923077
granule,-1.307692308
grape,0.909090909
grapefruit,1.090909091
grapes,-0.8125
grass,1.1
grasshopper,2.3
grassy,2.333333333
grater,1.6
gratitude,0.9
grave,1.642857143
gravelly,1
gray,1.2
grease,1.571428571
greasy,1.230769231
greed,1.090909091
green,1.1
grenade,-0.4
grey,0.692307692
grief,0.3
grimy,1.5
grind,2
grinding,2.307692308
grippy,2.1
grit,1.266666667
gritty,2.571428571
groan,3.230769231
groaning,2.153846154
grooved,2.272727273
grotesque,0.857142857
groundhog,0.636363636
growl,2.923076923
growling,2.642857143
grr,2
grub,1.846153846
grubby,1.5
guild,0.166666667
guilt,-0.153846154
guitar,0.545454545
gum,1.6
gun,0.5
gunshot,1.1
guppy,0.727272727
gurgle,4.416666667
gurgling,1.928571429
gush,3.272727273
guts,0.571428571
hair,-0.416666667
hairbrush,0.4
hairpin,0.2
hairy,1.538461538
ham,-0.363636364
hamburger,-0.357142857
hammer,1.384615385
hamster,-1.909090909
hand,0.388888889
handgun,1.727272727
handsome,-0.307692308
hang,0
happy,2.076923077
hard,3.692307692
hare,-0.2
harm,0.230769231
harmonica,0.7
harmony,1.538461538
harp,0.2
harpoon,1.1
harpsichord,0
harsh,2.642857143
hasten,-0.6
hat,1.461538462
hatchet,1.8
hate,1.4375
have,-0.266666667
hawk,2.3
haze,1
hazy,2.307692308
he,1.058823529
head,0.6875
health,1.083333333
hear,0.066666667
heart,0.928571429
heat,1.461538462
heave,3.285714286
heaven,0
heavy,1.1
hedgehog,0.416666667
helicopter,0.909090909
hell,1
hello,2.1
helmet,0.9
help,1.533333333
hen,0.454545455
her,0.7
herb,0.230769231
herby,-0.466666667
here,-0.2
heredity,0.5
heresy,-0.181818182
hero,-0.153846154
heroin,0.1
heroism,1
hers,1.214285714
hi,0.8
hide,1.142857143
high,2.636363636
highlighter,1.636363636
hike,1.181818182
him,0.583333333
hippo,0
hippopotamus,1.3
his,0.588235294
hiss,4.153846154
hissing,4.461538462
hit,1
hoarse,1.538461538
hobble,2.6
hockey,0.6
hoe,-1.454545455
hog,0
hold,0.846153846
hole,2.538461538
holey,-0.7
holiday,0.7
hollow,1.5
holy,0.769230769
home,2
honest,0.214285714
honey,1.642857143
honeydew,0.545454545
honeyed,0.2
honeymoon,0.5
hook,1.454545455
hoot,3.428571429
hop,3.3
hope,1.125
horn,1.3
hornet,0.909090909
horse,-0.363636364
hose,0.642857143
hot,2
hound,1.1
hour,-0.071428571
house,0.454545455
housefly,0.4
household,0.230769231
how,0.461538462
howl,4
howling,3.545454545
hug,2
huge,2.538461538
hum,3.769230769
humid,0.384615385
humming,4.466666667
hummingbird,1.454545455
humor,-1.083333333
hump,2.153846154
hungry,1.285714286
hunt,0.357142857
hurl,2.181818182
hurricane,0.6
hurry,0.75
hurt,0.9
hurtle,0
husband,0
hush,2.230769231
hushed,2.454545455
husky,1.285714286
hut,1.1
hyena,-0.6
I,3.181818182
ice,0.642857143
icky,4.2
icy,1.090909091
ideal,-0.285714286
idiot,0.583333333
if,0.636363636
iguana,0.4
illicit,-0.384615385
image,-0.076923077
imagination,1.727272727
immense,2.076923077
impress,0
impression,0.615384615
improvise,0.357142857
in,1.461538462
inanimate,-0.727272727
incentive,-0.615384615
incest,-1.066666667
inch,1.833333333
incident,0.133333333
income,0.214285714
increase,1.071428571
independence,1.285714286
indestructible,1.272727273
infinity,0.5
inflexible,0.909090909
influence,0.416666667
inform,0.461538462
information,1.357142857
injure,-0.3
injury,-0.416666667
inn,0.5
innocuous,-1.923076923
inside,0.9
insipid,0.066666667
instance,-0.272727273
insulated,0.6
insult,0.833333333
intellect,0.727272727
intent,-0.5
intention,0.571428571
interim,-0.4
interior,-0.083333333
interview,0.6
into,-0.823529412
intricate,1.090909091
intruder,0.9
invade,1
invader,1.272727273
invent,-0.266666667
invention,0.833333333
investigate,0.384615385
investigation,-0.166666667
invite,0.230769231
irate,1.285714286
ire,0.4
is,-0.142857143
island,1.636363636
issue,-0.333333333
it,1
itch,2.583333333
itchy,2.25
item,-0.181818182
jacket,0.5
jag,0.916666667
jagged,1.846153846
jaguar,1.916666667
jail,0.5
jam,0.571428571
jammy,1.2
jar,0.461538462
javelin,0.875
jay,0.454545455
jealous,-0.428571429
jealousy,1.3
jeans,0
jeep,0.166666667
jello,2.25
jelly,1.6
jerk,0.909090909
jet,0.833333333
jewel,1.25
jiggle,2.583333333
jingle,2.769230769
jingling,2.916666667
job,0.307692308
jog,0.454545455
jogger,0.1
join,0
joke,0.545454545
jolt,3.1
joy,0.785714286
juggler,2.6
juice,0.615384615
juicy,3
jump,1
junior,-0.1
kangeroo,0.833333333
ketchup,0.3
kettle,1.454545455
key,0.3
keyboard,1
keys,0.9375
khaki,-0.833333333
kick,1.95
kid,1.454545455
kill,1.692307692
killer,2.090909091
kind,-0.357142857
king,0.75
kingdom,1.923076923
kiss,1.25
kitchen,-0.058823529
kite,-0.166666667
kitten,0.1
kitty,0
kleenex,2.9
knack,0.7
knapsack,0.1
knave,-0.363636364
knee,0.133333333
kneel,2
knew,0.25
knife,0.523809524
knight,1.4
knit,0.181818182
knitted,0.3
knob,0.7
knobby,1.7
knock,3.0625
knoll,-0.818181818
knot,-0.636363636
know,0.769230769
knowledge,0.384615385
knuckle,1.230769231
knuckles,1.1
knurl,0.454545455
koala,0.5
lacrosse,-0.545454545
lacy,0.818181818
ladder,1.384615385
ladle,0.153846154
lady,-0.076923077
ladybug,0
lake,-0.272727273
lamb,0.416666667
lamp,0.071428571
land,-0.8
landscape,1.2
landslide,1.166666667
lane,0.583333333
lantern,0.5
large,1.538461538
lark,-0.9
last,0.615384615
later,-0.3
laugh,0.75
laughing,0.5
laughter,0.909090909
lava,0.272727273
lawn,0.6
lead,-0.307692308
leaf,-0.785714286
leap,1.818181818
leather,1.266666667
leathery,1.307692308
leave,0.615384615
lecture,0.7
leech,2
left,0.454545455
leg,0.315789474
legit,-0.615384615
lemme,-0.9
lemon,-0.615384615
lemonade,0.6
lemony,0.461538462
leopard,0.4
leotards,-1
letter,-0.363636364
lettuce,-0.090909091
