w,iconicity_speechVGG,iconicity_VGGish,iconicity_mean
goodbye,0.6227140297689,0.700715899467468,0.661714964618184
drip,0.459921244535103,0.632722973823547,0.546322109179325
yes,0.4577460756137,0.740925669670105,0.599335872641903
click,0.42476799014342,0.70935469865799,0.567061344400705
pop,0.424372190189155,0.605330228805542,0.514851209497348
thud,0.369656489214187,0.583505034446716,0.476580761830452
monotone,0.351464905260654,0.651143670082092,0.501304287671373
clunk,0.337654130458811,0.615090906620026,0.476372518539418
meow,0.316837528232716,0.61052018404007,0.463678856136393
sarcasm,0.301658399665436,0.502707421779633,0.402182910722534
unintelligible,0.272055879572253,0.644236266613007,0.45814607309263
frog,0.243030510821011,0.647706210613251,0.445368360717131
listen,0.23651049950032,0.5884148478508,0.41246267367556
dialogue,0.236194167552063,0.662019431591034,0.449106799571548
quack,0.20261314095708,0.631553649902344,0.417083395429712
whoosh,0.194734352460476,0.607559084892273,0.401146718676374
soundtrack,0.192522821865948,0.144598096609116,0.168560459237532
booming,0.185045617515076,0.457568824291229,0.321307220903153
communication,0.163605213976074,0.434967190027237,0.299286202001655
bang,0.163559637478343,0.666905701160431,0.415232669319387
saying,0.156041773125796,0.594549536705017,0.375295654915407
whistle,0.144598269938728,0.540088713169098,0.342343491553913
clap,0.141640317816315,0.321763753890991,0.231702035853653
techno,0.139693634919175,0.351287394762039,0.245490514840607
giggling,0.139240315283551,0.422435015439987,0.280837665361769
baritone,0.133987971241491,0.808593332767487,0.471290652004489
monologue,0.133937350986131,0.749085485935211,0.441511418460671
speech,0.13152371486541,0.750613272190094,0.441068493527752
recital,0.127638492304202,0.586455643177033,0.357047067740617
rainy,0.120264656874337,0.38422566652298,0.252245161698659
swear,0.120221313987667,0.733501613140106,0.426861463563886
apology,0.11872331373714,0.689447581768036,0.404085447752588
spoken,0.117936264429041,0.640593945980072,0.379265105204557
squawk,0.116902799258135,0.288554549217224,0.202728674237679
giggle,0.114233472244623,0.637565910816193,0.375899691530408
canary,0.11307275110776,0.422954797744751,0.268013774426255
politics,0.110079117361979,0.594754040241241,0.35241657880161
bark,0.106527863630901,0.527626752853394,0.317077308242147
beep,0.09864891605271,0.572291672229767,0.335470294141238
request,0.095340259521476,0.690820157527924,0.3930802085247
typewriter,0.082547965441927,0.559778034687042,0.321163000064484
language,0.082389212319863,0.660496115684509,0.371442664002186
no,0.080725609961468,0.746611416339874,0.413668513150671
rattlesnake,0.071156683766432,0.29232394695282,0.181740315359626
profanity,0.068532300663734,0.557514488697052,0.313023394680393
sitcom,0.06795463816824,0.66879153251648,0.36837308534236
snap,0.066359378768424,0.581305742263794,0.323832560516109
mandolin,0.065658760260295,0.271567940711975,0.168613350486135
crunch,0.062219232974363,0.63808810710907,0.350153670041716
ridicule,0.061237169252751,0.69370698928833,0.377472079270541
announcer,0.061192938049512,0.772679448127747,0.416936193088629
excitement,0.059559265308166,0.446281015872955,0.252920140590561
greeting,0.059366152945325,0.718907833099365,0.389136993022345
dogs,0.058127961166819,0.420187711715698,0.239157836441258
helicopter,0.057586897703983,0.430448412895203,0.244017655299593
cluck,0.054521140775835,0.531023502349854,0.292772321562844
expletive,0.054200821293926,0.565648138523102,0.309924479908514
nonsense,0.049333808683661,0.412948340177536,0.231141074430599
thudding,0.048119452512945,0.484055072069168,0.266087262291057
slurp,0.042428749597895,0.66122967004776,0.351829209822828
argument,0.041273117559584,0.641757428646088,0.341515273102836
tale,0.039502846780857,0.298032462596893,0.168767654688875
cassette,0.035059546386384,0.652017533779144,0.343538540082764
command,0.031762750757134,0.46008226275444,0.245922506755787
fighting,0.030966855474127,0.644460380077362,0.337713617775744
comedy,0.030603883055671,0.52747768163681,0.27904078234624
ding,0.029269666618702,0.538788318634033,0.284028992626368
babble,0.02894949757577,0.583586513996124,0.306268005785947
tapping,0.027838207159718,0.520623028278351,0.274230617719034
story,0.027088352457835,0.177554339170456,0.102321345814145
vocal,0.024657034907824,0.749236762523651,0.386946898715737
shush,0.020682107701769,0.733781695365906,0.377231901533838
drum,0.019583770155593,0.400917261838913,0.210250515997253
amplifier,0.019402867071536,0.518711566925049,0.269057216998292
answer,0.015098932137737,0.592605590820313,0.303852261479025
festive,0.012787332241924,0.420713037252426,0.216750184747175
sighing,0.012716680106021,0.664188027381897,0.338452353743959
hiss,0.012477809375377,0.607625544071198,0.310051676723287
hound,0.011447701704387,0.430727362632751,0.221087532168569
female,0.011416002480301,0.666990399360657,0.339203200920479
auditory,0.010244617724337,0.75255697965622,0.381400798690278
whispering,0.008895942289641,0.62671172618866,0.31780383423915
cowbell,0.008195476186641,0.475038170814514,0.241616823500577
warn,0.007327763844903,0.575012445449829,0.291170104647366
slam,0.006291189588041,0.596917748451233,0.301604469019637
person,0.00558856245357,0.542846620082855,0.274217591268213
intercom,0.003874739715756,0.523859143257141,0.263866941486449
chuckle,0.003842759444363,0.731793463230133,0.367818111337248
jingling,0.002616020504037,0.528412699699402,0.265514360101719
humorous,-0.000180511685073,0.601893067359924,0.300856277837426
interview,-0.001047092208457,0.572406530380249,0.285679719085896
chat,-0.001891259447131,0.672376930713654,0.335242835633261
rhythmic,-0.004251263636352,0.507884681224823,0.251816708794236
communicate,-0.004290055574312,0.53369265794754,0.264701301186614
me,-0.004933421777655,0.616723656654358,0.305895117438352
gun,-0.009188001422918,0.55011785030365,0.270464924440366
recording,-0.011305646723474,0.51665073633194,0.252672544804233
cuss,-0.011369804201224,0.342637181282043,0.16563368854041
whistling,-0.011429724061878,0.450688004493713,0.219629140215918
voice,-0.013117041259804,0.69863349199295,0.342758225366573
beat,-0.013944252380556,0.418475776910782,0.202265762265113
knock,-0.016009955887715,0.57530665397644,0.279648349044363
rattle,-0.016169696832062,0.620948255062103,0.302389279115021
talking,-0.018857687690728,0.666043877601624,0.323593094955448
real,-0.019399347777798,0.53710412979126,0.258852391006731
silly,-0.019537545033255,0.627854704856873,0.304158579911809
whisper,-0.021679809632418,0.600524485111237,0.289422337739409
silence,-0.022090106477185,0.500484168529511,0.239197031026163
bell,-0.022715133722606,0.492951542139053,0.235118204208223
shooting,-0.022848124234049,0.52790105342865,0.2525264645973
laughter,-0.024387738008531,0.623181164264679,0.299396713128074
speak,-0.024388427916372,0.730230391025543,0.352920981554585
speaking,-0.024514049866696,0.696061730384827,0.335773840259066
duet,-0.025188729938509,0.462623953819275,0.218717611940383
dog,-0.026702919977863,0.567130923271179,0.270214001646658
explode,-0.027792374471093,0.56734573841095,0.269776681969928
argue,-0.02852924638592,0.690248489379883,0.330859621496981
squeaky,-0.028550209093073,0.48337921500206,0.227414502954493
cellphone,-0.029551553527093,0.493358463048935,0.231903454760921
gargle,-0.034072396001557,0.663395047187805,0.314661325593124
rap,-0.036074376981249,0.3769551217556,0.170440372387176
cartoon,-0.036471898826275,0.48274439573288,0.223136248453302
word,-0.038553000148466,0.593045353889465,0.2772461768705
horn,-0.042478936545134,0.513299584388733,0.2354103239218
bass,-0.043209619292787,0.488371163606644,0.222580772156929
creek,-0.043818642252182,0.600655674934387,0.278418516341102
sigh,-0.046927701424406,0.615553915500641,0.284313107038117
drummer,-0.048043146414969,0.348982721567154,0.150469787576092
melodic,-0.048151777647814,0.461434543132782,0.206641382742484
rattling,-0.049132416790755,0.55260705947876,0.251737321344002
plead,-0.049399954208694,0.471052259206772,0.210826152499039
tone,-0.049847975213687,0.528534948825836,0.239343486806075
chaos,-0.052434842837106,0.399271637201309,0.173418397182102
cracking,-0.052542490928927,0.562188804149628,0.25482315661035
howl,-0.053168884496757,0.439670085906982,0.193250600705112
mumble,-0.054009532041003,0.757151246070862,0.351570857014929
disturbance,-0.054099057590798,0.254012048244476,0.099956495326839
conversation,-0.055314967121302,0.483468800783157,0.214076916830928
shattering,-0.05673626507461,0.575512111186981,0.259387923056186
gasp,-0.058369552353621,0.681370675563812,0.311500561605096
barking,-0.059179803749771,0.455786257982254,0.198303227116242
amplification,-0.06055369694286,0.21858337521553,0.079014839136335
someone,-0.061152784899297,0.492152273654938,0.215499744377821
sneeze,-0.062395308655684,0.654106914997101,0.295855803170708
choral,-0.063033652528656,0.326297432184219,0.131631889827782
yapping,-0.064430447998102,0.368812739849091,0.152191145925494
poetry,-0.064487445505185,0.631446599960327,0.283479577227571
amen,-0.064513678324013,0.378848135471344,0.157167228573666
moan,-0.065067938278753,0.643079400062561,0.289005730891904
media,-0.065091750113891,0.757438361644745,0.346173305765427
woodpecker,-0.065979233436611,0.46675518155098,0.200387974057184
sob,-0.067483334684258,0.681367635726929,0.306942150521336
saxophone,-0.068077593837474,0.263648271560669,0.097785338861597
hammering,-0.068923495949529,0.576601386070251,0.253838945060361
hearing,-0.069923973420042,0.177620440721512,0.053848233650735
pager,-0.071953192444679,0.457672983407974,0.192859895481648
mean,-0.072670309383819,0.566081404685974,0.246705547651078
rhythm,-0.072727209947239,0.478947579860687,0.203110184956724
phrase,-0.073297645218276,0.282963097095489,0.104832725938607
recorder,-0.073437742985842,0.62671422958374,0.276638243298949
loudly,-0.078187431517105,0.636660635471344,0.27923660197712
alarm,-0.078498110649731,0.571661949157715,0.246581919253992
children,-0.079036825193341,0.408259212970734,0.164611193888696
album,-0.082842962892531,0.501994550228119,0.209575793667794
footsteps,-0.085520771968846,0.576197862625122,0.245338545328138
rude,-0.086267627753692,0.628076553344727,0.270904462795517
ticking,-0.088121493741521,0.673119485378265,0.292498995818372
storm,-0.08885676402363,0.415257811546326,0.163200523761348
coach,-0.08992205460142,0.503407299518585,0.206742622458583
gasping,-0.091807653536526,0.698348104953766,0.30327022570862
actor,-0.091937101286021,0.621064484119415,0.264563691416697
broadcast,-0.092448368855439,0.470085442066193,0.188818536605377
beeper,-0.092702452508413,0.465822994709015,0.186560271100301
chorus,-0.093109045017843,0.421044796705246,0.163967875843701
sport,-0.093321328578141,0.513693630695343,0.210186151058601
insult,-0.093641784990093,0.594922542572022,0.250640378790964
lie,-0.09382043276798,0.658347547054291,0.282263557143156
roar,-0.094745427220647,0.631028056144714,0.268141314462034
gurgle,-0.096147220478533,0.582603812217712,0.24322829586959
pleading,-0.096207174156759,0.535771787166595,0.219782306504918
humor,-0.098857024533993,0.566053450107574,0.233598212786791
mower,-0.099213823221122,0.349253922700882,0.12502004973988
instrumental,-0.100829127715445,0.341008841991425,0.12008985713799
arcade,-0.103914067031057,0.497895330190659,0.196990631579801
decree,-0.104280465858233,0.355034202337265,0.125376868239516
laugh,-0.106417944566642,0.659892141819,0.276737098626179
quiet,-0.10763479308853,0.682672083377838,0.287518645144654
flatulence,-0.108218944463973,0.551569521427155,0.221675288481591
rumbling,-0.110183188532592,0.508086562156677,0.198951686812043
applause,-0.110765250821033,0.313586086034775,0.101410417606871
macaw,-0.111054096024599,0.365458875894546,0.127202389934974
reggae,-0.111913810596816,0.480125457048416,0.1841058232258
outdoor,-0.112005892177913,0.458086848258972,0.17304047804053
sobbing,-0.112008912845512,0.503633975982666,0.195812531568577
creaking,-0.113237424519631,0.572268068790436,0.229515322135402
fireworks,-0.113567289319661,0.533684849739075,0.210058780209707
disco,-0.115641091586226,0.383991539478302,0.134175223946038
knocking,-0.117742563544786,0.552926778793335,0.217592107624274
grunt,-0.118407912955903,0.716813504695892,0.299202795869995
question,-0.120388151095648,0.73110419511795,0.305358022011151
burp,-0.127264960165753,0.695635855197907,0.284185447516077
whir,-0.127527055244366,0.608291566371918,0.240382255563776
growling,-0.131636059843729,0.532379686832428,0.200371813494349
shout,-0.131659263134612,0.579858660697937,0.224099698781662
seagull,-0.133456266251322,0.338080108165741,0.102311920957209
muffled,-0.133868234930182,0.535804331302643,0.20096804818623
boom,-0.134876581099394,0.530346751213074,0.19773508505684
lion,-0.134943996993862,0.613864004611969,0.239460003809053
creaky,-0.137581935216094,0.487830728292465,0.175124396538186
human,-0.13881367021202,0.680003643035889,0.270594986411934
groan,-0.138942103966049,0.626464307308197,0.243761101671074
wail,-0.139589665842405,0.426803261041641,0.143606797599618
snoring,-0.140749571749614,0.729309618473053,0.29428002336172
audience,-0.141826010019446,0.270329564809799,0.064251777395177
notification,-0.141997747024766,0.453950464725494,0.155976358850364
harp,-0.142931995895801,0.420405089855194,0.138736546979697
crowd,-0.145709959880591,0.31329134106636,0.083790690592885
announce,-0.146610724845131,0.292726367712021,0.073057821433445
cheer,-0.149093890247443,0.280964761972427,0.065935435862492
stutter,-0.151206789728042,0.306829303503036,0.077811256887498
harmonious,-0.151606739740285,0.310986399650574,0.079689829955145
acoustic,-0.15364044302071,0.479927182197571,0.163143369588431
talk,-0.153668551059095,0.668881416320801,0.257606432630853
snore,-0.153907041286157,0.602871417999268,0.224482188356555
firecracker,-0.155569018303969,0.579810321331024,0.212120651513528
poem,-0.155577913583949,0.61303049325943,0.22872628983774
cannon,-0.156179013700383,0.500670254230499,0.172245620265058
sarcastic,-0.156651135259816,0.435587882995606,0.139468373867895
sizzle,-0.158300973093465,0.449849843978882,0.145774435442708
woman,-0.158528131148149,0.66367894411087,0.252575406481361
laughing,-0.160034108755185,0.608650922775269,0.224308407010042
jet,-0.16141206211096,0.567370891571045,0.202979414730042
rustling,-0.162262305381239,0.478610366582871,0.158174030600816
harmonic,-0.164352516622565,0.405190199613571,0.120418841495503
lesson,-0.166276765995192,0.360459476709366,0.097091355357087
hum,-0.167093032053584,0.571910798549652,0.202408883248034
response,-0.167260362880042,0.284899294376373,0.058819465748166
television,-0.167529455845956,0.594220578670502,0.213345561412273
chatter,-0.167558116455216,0.52662718296051,0.179534533252647
muttering,-0.168468436834706,0.304419487714767,0.067975525440031
donkey,-0.168822911108393,0.600477814674377,0.215827451782992
yell,-0.169526472090077,0.655350685119629,0.242912106514776
percussion,-0.170103086744191,0.481331139802933,0.155614026529371
ocean,-0.170911292771691,0.301440536975861,0.065264622102085
mock,-0.171093932372965,0.630369663238525,0.22963786543278
advertisement,-0.171590832509029,0.292481034994125,0.060445101242548
harpsichord,-0.172531675999108,0.353970289230347,0.090719306615619
man,-0.17321433963038,0.751103341579437,0.288944500974529
phone,-0.173626738551135,0.645711541175842,0.236042401312354
newsflash,-0.174737368955983,0.121126890182495,-0.026805239386744
chime,-0.175284014046363,0.430245369672775,0.127480677813206
music,-0.175884798943807,0.390586286783218,0.107350743919706
multimedia,-0.176175114787473,0.362714558839798,0.093269722026163
drill,-0.176272774363388,0.602876663208008,0.21330194442231
son,-0.177433304447644,0.555953443050385,0.18926006930137
silent,-0.177976137411531,0.656157791614533,0.239090827101501
mantra,-0.178236653664598,0.528401613235474,0.175082479785438
bees,-0.178677883103499,0.34118664264679,0.081254379771645
orchestra,-0.180416396971632,0.232949167490005,0.026266385259187
singer,-0.180839534311065,0.277264475822449,0.048212470755692
bird,-0.181093453212774,0.513003587722778,0.165955067255002
stereo,-0.183470581647327,0.564425826072693,0.190477622212683
choir,-0.183900642288207,0.337932825088501,0.077016091400147
cinema,-0.184576499818088,0.381800174713135,0.098611837447523
reverberation,-0.185158271048821,0.499734371900559,0.157288050425869
chant,-0.188186720446003,0.589757263660431,0.200785271607214
singing,-0.188933928953049,0.455403625965118,0.133234848506035
tuba,-0.189190008586434,0.32974910736084,0.070279549387203
call,-0.189810292326708,0.563648760318756,0.186919233996024
cooing,-0.193713156025134,0.521563410758972,0.163925127366919
liar,-0.194465222427655,0.331689149141312,0.068611963356828
ringing,-0.195850223185419,0.566422045230866,0.185285911022723
growl,-0.196587250985592,0.600400745868683,0.201906747441546
umpire,-0.197602303944555,0.479189038276672,0.140793367166059
doorbell,-0.197745656137211,0.488229870796204,0.145242107329496
roaring,-0.199391922610354,0.6328986287117,0.216753353050673
automobile,-0.201429585385451,0.503294825553894,0.150932620084221
cymbal,-0.201658184486599,0.451758295297623,0.125050055405512
buzz,-0.203356057672054,0.603951930999756,0.200297936663851
men,-0.203394837354562,0.560591578483582,0.17859837056451
news,-0.203914680907057,0.392356306314468,0.094220812703706
message,-0.20393632174835,0.463812440633774,0.129938059442712
funny,-0.205306027531106,0.623916685581207,0.20930532902505
hush,-0.207327694646556,0.568643748760223,0.180658027056834
information,-0.209938847203439,0.327746093273163,0.058903623034862
joke,-0.209965836913931,0.482874929904938,0.136454546495503
siren,-0.210067692324433,0.404450476169586,0.097191391922577
cheers,-0.211106331736324,0.330205321311951,0.059549494787813
cough,-0.214446156706301,0.704125344753265,0.244839594023482
owl,-0.216053495352119,0.456036031246185,0.119991267947033
circus,-0.21704193242587,0.418223530054092,0.100590798814111
seashore,-0.220554270302008,0.36830398440361,0.073874857050801
thunderstorm,-0.220822839445983,0.45855051279068,0.118863836672348
announcement,-0.220936274600804,0.465785592794418,0.122424659096807
drilling,-0.22192385336699,0.488666385412216,0.133371266022613
baby,-0.224557219022714,0.491515815258026,0.133479298117656
telephone,-0.224848274089192,0.558380544185638,0.166766135048223
echo,-0.227502262539909,0.420109033584595,0.096303385522343
viola,-0.227555500949456,0.301498413085937,0.036971456068241
gunfire,-0.228394337640819,0.531090199947357,0.151347931153269
ambulance,-0.233013353568563,0.400277554988861,0.083632100710149
radio,-0.23393556965723,0.599047660827637,0.182556045585203
noisy,-0.234171896583365,0.520482003688812,0.143155053552724
thunder,-0.235060011484225,0.437580466270447,0.101260227393111
cheering,-0.236051687821574,0.329455673694611,0.046701992936518
song,-0.236744300063533,0.458072811365128,0.110664255650797
creature,-0.237689134446953,0.600446283817291,0.181378574685169
percussive,-0.23837798894222,0.441561013460159,0.10159151225897
audio,-0.238597202565635,0.558496356010437,0.159949576722401
harmonica,-0.239625854835102,0.282648533582687,0.021511339373793
outside,-0.240813648381401,0.533578038215637,0.146382194917118
concert,-0.240825886788128,0.298722833395004,0.028948473303438
howling,-0.247830787185745,0.521780908107758,0.136975060461006
shrill,-0.248808255054534,0.29739972949028,0.024295737217873
fiddle,-0.25055479701231,0.435995101928711,0.092720152458201
clarinet,-0.250969010522976,0.301792860031128,0.025411924754076
cry,-0.252372657934605,0.600401282310486,0.174014312187941
tenor,-0.252894457250632,0.366294890642166,0.056700216695767
party,-0.252956835642686,0.422014713287354,0.084528938822334
insect,-0.253204582683784,0.499273389577866,0.123034403447041
gunshot,-0.254023038549944,0.469271987676621,0.107624474563338
guitar,-0.254876484232523,0.431089162826538,0.088106339297007
bellow,-0.2554539825264,0.55075591802597,0.147650967749785
presentation,-0.255524919890742,0.32430237531662,0.034388727712939
tuning,-0.256873408594665,0.419775068759918,0.081450830082627
sing,-0.257396011467686,0.340438395738602,0.041521192135458
loud,-0.257738163416963,0.532322287559509,0.137292062071273
opera,-0.25978304262198,0.197905242443085,-0.030938900089448
whine,-0.26029996296467,0.622353911399841,0.181026974217586
tinkle,-0.26100812059111,0.459155410528183,0.099073644968536
moaning,-0.261179557657971,0.558346748352051,0.14858359534704
symphony,-0.264499826097825,0.332455724477768,0.033977949189971
band,-0.266863451051593,0.325312703847885,0.029224626398146
chord,-0.267913211393889,0.361822426319122,0.046954607462617
screeching,-0.267943382955258,0.345695048570633,0.038875832807688
buzzer,-0.268019745366847,0.48639851808548,0.109189386359317
destruction,-0.268127430632827,0.466696828603745,0.099284698985459
motor,-0.26863216912692,0.513923645019531,0.122645737946305
cello,-0.270836472707325,0.334305047988892,0.031734287640783
screaming,-0.270962272656064,0.53098738193512,0.130012554639528
refusal,-0.272707411396534,0.551718652248383,0.139505620425924
church,-0.273832384011666,0.411420434713364,0.068794025350849
musical,-0.282914126891214,0.358382701873779,0.037734287491283
windy,-0.283996717571409,0.455401331186295,0.085702306807443
rooster,-0.286467831273103,0.428339838981628,0.070936003854263
parade,-0.286565289348187,0.455307543277741,0.084371126964777
bleating,-0.289694922823441,0.470504730939865,0.090404904058212
piano,-0.291659717027678,0.402373671531677,0.055356977252
sound,-0.293080787846473,0.523814797401428,0.115367004777478
movie,-0.294668691736635,0.360787987709045,0.033059647986205
instrument,-0.299187519382349,0.410970211029053,0.055891345823352
flute,-0.299791767650827,0.32664954662323,0.013428889486201
humming,-0.300385262211358,0.550814986228943,0.125214862008792
soprano,-0.303555908907942,0.219428434967995,-0.042063736969974
ad,-0.307448019393454,0.413293421268463,0.052922700937505
polite,-0.313649067971692,0.24140202999115,-0.036123518990271
feedback,-0.3212262618,0.481375575065613,0.080074656632806
foghorn,-0.321339855698243,0.370277553796768,0.024468849049263
thunderclap,-0.321541714927091,0.372503340244293,0.025480812658601
mama,-0.330731392850679,0.491379708051681,0.080324157600501
train,-0.331163815549787,0.488537639379501,0.078686911914857
crying,-0.332514581201454,0.503285109996796,0.085385264397671
automotive,-0.335277840353928,0.490931868553162,0.077827014099617
explosion,-0.335795182185384,0.478857338428497,0.071531078121557
noise,-0.349594456470806,0.57790994644165,0.114157744985422
tune,-0.353654813488483,0.187920466065407,-0.082867173711538
accent,-0.353852834751701,0.570699095726013,0.108423130487156
beg,-0.355466385096433,0.399365335702896,0.021949475303232
city,-0.363476721080544,0.593514204025269,0.115018741472362
people,-0.378013603310046,0.466519564390183,0.044252980540069
engine,-0.392097407079777,0.409040868282318,0.008471730601271
trumpet,-0.401363056020252,0.370337784290314,-0.015512635864969
report,-0.40521196395232,0.483710944652557,0.039249490350119
violin,-0.42849241035211,0.389631241559982,-0.019430584396064
